CIIU Seccion,Tamaño muestral,N° empresas,Distribución %,CV
Industrias manufactureras,73,722,17.0363378952336,0.09848657617522912
"Agricultura, ganadería, silvicultura y pesca",51,684,16.139688532326566,0.0996008539661304
Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,60,586,13.827277017461068,0.0902920263986016
Construcción,34,549,12.954223690420008,0.13021296910936203
Transporte y almacenamiento,55,459,10.830580462482303,0.09563588848264988
Actividades de servicios administrativos y de apoyo,36,443,10.453043888626711,0.16640156366059158
Actividades de alojamiento y de servicio de comidas,60,377,8.895705521472392,0.062268434531853004
"Actividades profesionales, científicas y técnicas",20,137,3.232656913638509,0.30571833689806405
Información y comunicaciones,16,75,1.7697026899480888,0.391691488575157
"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",15,50,1.1798017932987257,0.20794229968912067
Actividades inmobiliarias,15,39,0.9202453987730062,0.2550289665101027
Otras actividades de servicios,18,36,0.8494572911750826,0.19928827473129532
Actividades de atención de la salud humana y de asistencia social,8,29,0.684285040113261,0.46100733556445495
Enseñanza,5,19,0.4483246814535158,0.6150178922499672
"Actividades artísticas, de entretenimiento y recreativas",9,18,0.4247286455875413,0.3071475584169755
Actividades financieras y de seguros,5,10,0.23596035865974516,0.3721042037676253
"Suministro de electricidad, gas, vapor y aire acondicionado",1,3,0.07078810759792356,1.000000000000001
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,2,0.04719207173194903,1.0000000000000007
Total,482,4238,100,0.012317837440853997
